Dec,BIN,Rsense Value
671,0b1010011111,92.27024822
672,0b1010100000,155.0265162
673,0b1010100001,117.1658979
674,0b1010100010,139.9538138
675,0b1010100011,108.3469211
676,0b1010100100,135.5671514
677,0b1010100101,105.6991343
678,0b1010100110,123.8984938
679,0b1010100111,98.46861238
680,0b1010101000,130.143143
681,0b1010101001,102.3725425
682,0b1010101010,119.3523659
683,0b1010101011,95.57534686
684,0b1010101100,116.147313
685,0b1010101101,93.50904153
686,0b1010101110,107.4753312
687,0b1010101111,87.80511627
688,0b1010110000,123.4757813
689,0b1010110001,98.20142685
690,0b1010110010,113.72089
691,0b1010110011,91.92987704
692,0b1010110100,110.8074622
693,0b1010110101,90.01661539
694,0b1010110110,102.8873491
695,0b1010110111,84.7187305
696,0b1010111000,107.1571114
697,0b1010111001,87.59260372
698,0b1010111010,99.73274864
699,0b1010111011,82.56824227
700,0b1010111100,97.48488441
701,0b1010111101,81.02153365
702,0b1010111110,91.30164207
703,0b1010111111,76.70415868
704,0b1011000000,139.2232668
705,0b1011000001,107.9085679
706,0b1011000010,126.9452383
707,0b1011000011,100.3833672
708,0b1011000100,123.3256042
709,0b1011000101,98.1064137
710,0b1011000110,113.5934921
711,0b1011000111,91.84660708
712,0b1011001000,118.8206561
713,0b1011001001,95.23408328
714,0b1011001010,109.7604472
715,0b1011001011,89.32441651
716,0b1011001100,107.0439882
717,0b1011001101,87.51700257
718,0b1011001110,99.63475065
719,0b1011001111,82.5010621
720,0b1011010000,113.238071
721,0b1011010001,91.61410717
722,0b1011010010,104.979633
723,0b1011010011,86.13224016
724,0b1011010100,102.4919792
725,0b1011010101,84.45048451
726,0b1011010110,95.67944167
727,0b1011010111,79.77049549
728,0b1011011000,99.36120802
729,0b1011011001,82.3134212
730,0b1011011010,92.94548564
731,0b1011011011,77.86105055
732,0b1011011100,90.99016599
733,0b1011011101,76.4841994
734,0b1011011110,85.58050909
735,0b1011011111,72.62532864
736,0b1011100000,106.5861653
737,0b1011100001,87.21073796
738,0b1011100010,99.23799489
739,0b1011100011,82.22884328
740,0b1011100100,97.01212886
741,0b1011100101,80.69470598
742,0b1011100110,90.88682859
743,0b1011100111,76.41117118
744,0b1011101000,94.20259988
745,0b1011101001,78.7413013
746,0b1011101010,88.41636644
747,0b1011101011,74.65739456
748,0b1011101100,86.64514883
749,0b1011101101,73.39059402
750,0b1011101110,81.72584047
751,0b1011101111,69.83030901
752,0b1011110000,90.65915642
753,0b1011110001,76.25018261
754,0b1011110010,85.28762531
755,0b1011110011,72.41429735
756,0b1011110100,83.63837485
757,0b1011110101,71.22186791
758,0b1011110110,79.04551476
759,0b1011110111,67.86407659
760,0b1011111000,81.5417054
761,0b1011111001,69.69583199
762,0b1011111010,77.17021147
763,0b1011111011,66.4771392
764,0b1011111100,75.81747251
765,0b1011111101,65.47086712
766,0b1011111110,72.02391704
767,0b1011111111,62.62260709
768,0b1100000000,4003.11
769,0b1100000001,428.4117496
770,0b1100000010,1058.749216
771,0b1100000011,330.151991
772,0b1100000100,850.5465849
773,0b1100000101,306.7379468
774,0b1100000110,534.6394177
775,0b1100000111,252.8562159
776,0b1100001000,674.2436437
777,0b1100001001,280.3051468
778,0b1100001010,459.1687951
779,0b1100001011,234.618109
780,0b1100001100,415.1010156
781,0b1100001101,222.5461798
782,0b1100001110,322.1901587
783,0b1100001111,192.7467707
784,0b1100010000,526.8563551
785,0b1100010001,251.1018472
786,0b1100010010,385.6900478
787,0b1100010011,213.8052894
788,0b1100010100,354.1127473
789,0b1100010101,203.7341792
790,0b1100010110,284.1987513
791,0b1100010111,178.4738562
792,0b1100011000,319.347186
793,0b1100011001,191.725679
794,0b1100011010,261.3632148
795,0b1100011011,169.1906994
796,0b1100011100,246.4695123
797,0b1100011101,162.8215226
798,0b1100011110,210.437626
799,0b1100011111,146.2758358
800,0b1100100000,408.3000951
801,0b1100100001,220.5764183
802,0b1100100010,318.0779022
803,0b1100100011,191.2674491
804,0b1100100100,296.2885942
805,0b1100100101,183.1674607
806,0b1100100110,245.7127612
807,0b1100100111,162.4909225
808,0b1100101000,271.553429
809,0b1100101001,173.4029731
810,0b1100101010,228.4554243
811,0b1100101011,154.7599814
812,0b1100101100,216.9938592
813,0b1100101101,149.4137917
814,0b1100101110,188.5678728
815,0b1100101111,135.3632854
816,0b1100110000,244.055793
817,0b1100110001,161.7646326
818,0b1100110010,208.6755309
819,0b1100110011,145.4222682
820,0b1100110100,199.0710343
821,0b1100110101,140.6918993
822,0b1100110110,174.8851777
823,0b1100110111,128.1651223
824,0b1100111000,187.590465
825,0b1100111001,134.8588823
826,0b1100111010,165.962259
827,0b1100111011,123.3066369
828,0b1100111100,159.8294268
829,0b1100111101,119.8887331
830,0b1100111110,143.8564295
831,0b1100111111,110.6712258
832,0b1101000000,314.3292944
833,0b1101000001,189.9055953
834,0b1101000010,257.9924781
835,0b1101000011,167.7717444
836,0b1101000100,243.4697861
837,0b1101000101,161.5069747
838,0b1101000110,208.2469639
839,0b1101000111,145.2140072
840,0b1101001000,226.5152064
841,0b1101001001,153.867177
842,0b1101001010,195.7169457
843,0b1101001011,139.0082651
844,0b1101001100,187.2440575
845,0b1101001101,134.6797597
846,0b1101001110,165.691067
847,0b1101001111,123.1568707
848,0b1101010000,207.0555494
849,0b1101010001,144.6336769
850,0b1101010010,181.017532
851,0b1101010011,131.4280813
852,0b1101010100,173.745927
853,0b1101010101,127.5521943
854,0b1101010110,155.0330977
855,0b1101010111,117.1696572
856,0b1101011000,164.9359543
857,0b1101011001,122.739195
858,0b1101011010,147.9801218
859,0b1101011011,113.0957961
860,0b1101011100,143.0846841
861,0b1101011101,110.2139031
862,0b1101011110,130.1477812
863,0b1101011111,102.3754124
864,0b1101100000,185.8476903
865,0b1101100001,133.9558267
866,0b1101100010,164.5967209
867,0b1101100011,122.551236
868,0b1101100100,158.5625607
869,0b1101100101,119.1745081
870,0b1101100110,142.8293124
871,0b1101100111,110.0623248
872,0b1101101000,151.1924284
873,0b1101101001,114.9625471
874,0b1101101010,136.8215011
875,0b1101101011,106.4601053
876,0b1101101100,132.6260544
877,0b1101101101,103.9026473
878,0b1101101110,121.4373092
879,0b1101101111,96.90768723
880,0b1101110000,142.2678491
881,0b1101110001,109.728625
882,0b1101110010,129.4716269
883,0b1101110011,101.9565752
884,0b1101110100,125.7086229
885,0b1101110101,99.60852826
886,0b1101110110,115.6121658
887,0b1101110111,93.16186346
888,0b1101111000,121.0311963
889,0b1101111001,96.64889428
890,0b1101111010,111.6440555
891,0b1101111011,90.56793948
892,0b1101111100,108.8347549
893,0b1101111101,88.71037495
894,0b1101111110,101.1844003
895,0b1101111111,83.56073277
896,0b1110000000,239.8855691
897,0b1110000001,159.9219196
898,0b1110000010,205.6191934
899,0b1110000011,143.9313547
900,0b1110000100,196.2876879
901,0b1110000101,139.295937
902,0b1110000110,172.7334095
903,0b1110000111,127.0056535
904,0b1110001000,185.1169021
905,0b1110001001,133.5757445
906,0b1110001010,164.0232454
907,0b1110001011,122.2330401
908,0b1110001100,158.030294
909,0b1110001101,118.873584
910,0b1110001110,142.3972889
911,0b1110001111,109.8056096
912,0b1110010000,171.9129028
913,0b1110010001,126.5615113
914,0b1110010010,153.5719923
915,0b1110010011,116.3331613
916,0b1110010100,148.3061695
917,0b1110010101,113.2861412
918,0b1110010110,134.4535504
919,0b1110010111,105.0209461
920,0b1110011000,141.8392104
921,0b1110011001,109.4734623
922,0b1110011010,129.1165318
923,0b1110011011,101.7362423
924,0b1110011100,125.3738423
925,0b1110011101,99.39821657
926,0b1110011110,115.3289418
927,0b1110011111,92.97786845
928,0b1110100000,157.0344992
929,0b1110100001,118.309247
930,0b1110100010,141.5882612
931,0b1110100011,109.3239124
932,0b1110100100,137.1001843
933,0b1110100101,106.6287527
934,0b1110100110,125.1777339
935,0b1110100111,99.2749117
936,0b1110101000,131.5553185
937,0b1110101001,103.244326
938,0b1110101010,120.5390021
939,0b1110101011,96.3347772
940,0b1110101100,117.2707738
941,0b1110101101,94.23586475
942,0b1110101110,108.4365973
943,0b1110101111,88.4456697
944,0b1110110000,124.7462626
945,0b1110110001,99.00333865
946,0b1110110010,114.7976833
947,0b1110110011,92.63226641
948,0b1110110100,111.8295413
949,0b1110110101,90.68996542
950,0b1110110110,103.7679603
951,0b1110110111,85.31489107
952,0b1110111000,108.1126683
953,0b1110111001,88.23004902
954,0b1110111010,100.5599703
955,0b1110111011,83.13442012
956,0b1110111100,98.27508927
957,0b1110111101,81.56662832
958,0b1110111110,91.99442803
959,0b1110111111,77.1925334
960,0b1111000000,140.8405967
961,0b1111000001,108.8776344
962,0b1111000010,128.2885078
963,0b1111000011,101.2214624
964,0b1111000100,124.5929811
965,0b1111000101,98.90676817
966,0b1111000110,114.6678628
967,0b1111000111,92.54771974
968,0b1111001000,119.996691
969,0b1111001001,95.98807863
970,0b1111001010,110.763215
971,0b1111001011,89.98741253
972,0b1111001100,107.9975197
973,0b1111001101,88.15334398
974,0b1111001110,100.4603407
975,0b1111001111,83.06631585
